index,wavelength_center_um,wavelength_width_um
1,0.744,0.022
2,0.766,0.022
3,0.788,0.022
4,0.810,0.022
5,0.832,0.022
6,0.853,0.022
7,0.875,0.022
8,0.897,0.022
9,0.919,0.022
10,0.941,0.022
11,0.963,0.022
12,0.985,0.022
13,1.007,0.022
14,1.028,0.022
15,1.050,0.022
16,1.072,0.022
17,1.094,0.022
18,1.099,0.032
19,1.131,0.032
20,1.164,0.032
21,1.196,0.032
22,1.229,0.032
23,1.261,0.032
24,1.294,0.032
25,1.326,0.032
26,1.359,0.032
27,1.391,0.032
28,1.424,0.032
29,1.456,0.032
30,1.489,0.032
31,1.521,0.032
32,1.554,0.032
33,1.586,0.032
34,1.619,0.032
35,1.636,0.046
36,1.682,0.046
37,1.728,0.046
38,1.775,0.046
39,1.821,0.046
40,1.867,0.046
41,1.913,0.046
42,1.959,0.046
43,2.005,0.046
44,2.052,0.046
45,2.098,0.046
46,2.144,0.046
47,2.190,0.046
48,2.236,0.046
49,2.282,0.046
50,2.329,0.046
51,2.375,0.046
52,2.423,0.082
53,2.505,0.082
54,2.588,0.082
55,2.670,0.082
56,2.752,0.082
57,2.834,0.082
58,2.917,0.082
59,2.999,0.082
60,3.081,0.082
61,3.164,0.082
62,3.246,0.082
63,3.328,0.082
64,3.411,0.082
65,3.493,0.082
66,3.575,0.082
67,3.657,0.082
68,3.740,0.082
69,3.809,0.036
70,3.845,0.036
71,3.881,0.036
72,3.917,0.036
73,3.953,0.036
74,3.989,0.036
75,4.025,0.036
76,4.061,0.036
77,4.097,0.036
78,4.132,0.036
79,4.168,0.036
80,4.204,0.036
81,4.240,0.036
82,4.276,0.036
83,4.312,0.036
84,4.348,0.036
85,4.384,0.036
86,4.412,0.035
87,4.447,0.035
88,4.481,0.035
89,4.516,0.035
90,4.551,0.035
91,4.586,0.035
92,4.620,0.035
93,4.655,0.035
94,4.690,0.035
95,4.724,0.035
96,4.759,0.035
97,4.794,0.035
98,4.828,0.035
99,4.863,0.035
100,4.898,0.035
101,4.933,0.035
102,4.967,0.035
